"state" "dist" "incum84" "demo84" "repb84" "dpct84" "dwin84" "incum86" "demo86" "repb86" "dpct86" "dwin86"
"1" 1 1 1 147748 90823 0.619304106534323 1 1 128930 44122 0.745036174097959 1
"2" 11 98 1 142070 100650 0.585324653922215 1 1 106351 53767 0.664203899624027 1
"3" 1 2 1 124110 103119 0.546189086780297 1 1 109229 52869 0.673845451516984 1
"4" 12 1 1 152125 58800 0.721227924617755 1 1 93497 29175 0.762170666492761 1
"6" 12 11 1 106038 133662 0.442377972465582 0 -1 35280 75037 0.319805650987608 0
"7" 12 12 -1 78167 148042 0.345552122152523 0 -1 41967 72966 0.365143170368824 0
"8" 12 13 0 89307 141136 0.387544859249359 0 0 43920 82866 0.346410486962283 0
"9" 12 14 1 115117 58265 0.663950121696601 1 1 63057 23822 0.725802552975978 1
"10" 12 2 1 132841 77231 0.632359381545375 1 1 83821 35167 0.704449188153427 1
"11" 12 3 1 122291 105028 0.537970869131045 1 1 73743 51882 0.587008955223881 1
"12" 12 4 -1 87908 139295 0.386913905186111 0 -1 49290 78699 0.385111220495511 0
"13" 12 5 -1 69666 171979 0.288298950940429 0 -1 32145 94253 0.254315732843874 0
"14" 12 6 1 118532 90862 0.566071616187665 1 1 67460 28286 0.704572514778685 1
"15" 12 7 -1 56798 165685 0.255291415523883 0 -1 24462 92254 0.209585660920525 0
"16" 12 8 1 118793 69973 0.629313541633557 1 1 57820 34268 0.62787768221701 1
"17" 12 9 1 149493 89166 0.626387439819994 1 1 89634 40226 0.690235638379794 1
"18" 1 3 1 129230 115939 0.527105792331004 1 1 114276 49806 0.696456649723919 1
"19" 13 1 -1 94551 107029 0.469049508879849 0 0 67139 55413 0.54784091650891 1
"21" 13 11 1 81002 12494 0.866368614700094 1 1 41689 4053 0.911394342180053 1
"22" 13 12 1 82047 8609 0.905036621955524 1 1 42138 2752 0.938694586767654 1
"23" 13 13 1 82610 42737 0.65905047587896 1 1 61089 10941 0.848104956268222 1
"24" 13 14 -1 49776 117041 0.298386855056739 0 -1 27950 64647 0.30184563214791 0
"25" 13 15 -1 84404 107644 0.439494293093393 0 -1 42147 58214 0.419953966182083 0
"27" 13 17 1 162489 33316 0.829851127397155 1 1 95094 15587 0.859171854247793 1
"28" 13 18 1 85960 8970 0.905509322658801 1 1 43343 2479 0.94589934965737 1
